,country,article_name,revision_id,article_quality,population
0,Zambia,Template:ZambiaProvincialMinisters,235107991,no_score,17.7
1,Zambia,Gladys Lundwe,757566606,Stub,17.7
2,Zambia,Mwamba Luchembe,764848643,Stub,17.7
3,Zambia,Thandiwe Banda,768166426,Stub,17.7
4,Zambia,Sylvester Chisembele,776082926,Stub,17.7
5,Zambia,Victoria Kalima,776530837,Stub,17.7
6,Zambia,Margaret Mwanakatwe,779747587,Stub,17.7
7,Zambia,Nkandu Luo,779747961,Stub,17.7
8,Zambia,Susan Nakazwe,779748181,Stub,17.7
9,Zambia,Catherine Namugala,779748285,Stub,17.7
10,Zambia,Edith Nawakwi,779748522,Stub,17.7
11,Zambia,Joyce Nonde-Simukoko,779748628,Stub,17.7
12,Zambia,Gladys Nyirongo,779748837,Stub,17.7
13,Zambia,Vera Tembo,779748931,Stub,17.7
14,Zambia,Ompie Nkumbula-Lieventhal,790011468,Stub,17.7
15,Zambia,Besnat Jere,791225634,Start,17.7
16,Zambia,Esther Lungu,792296625,Start,17.7
17,Zambia,Inonge Wina,794006130,Start,17.7
18,Zambia,Maureen Mwanawasa,795820299,Stub,17.7
19,Zambia,First Lady of Zambia,796467991,Stub,17.7
20,Zambia,Jean Kapata,797469872,Stub,17.7
21,Zambia,Peter Sinkamba,799512628,Start,17.7
22,Zambia,Gwendoline Konie,803304465,Stub,17.7
23,Zambia,Kenneth Kaunda,805875783,Stub,17.7
24,Zambia,Inonge Mbikusita-Lewanika,805993958,Stub,17.7
25,Zambia,Yobert K. Shamapande,806345311,Stub,17.7
26,Chad,Bir I of Kanem,355319463,Stub,15.4
27,Chad,Abdullah II of Kanem,498683267,Stub,15.4
28,Chad,Salmama II of Kanem,565745353,Stub,15.4
29,Chad,Kuri I of Kanem,565745365,Stub,15.4
30,Chad,Mohammed I of Kanem,565745375,Stub,15.4
31,Chad,Kuri II of Kanem,669719757,Stub,15.4
32,Chad,Bir II of Kanem,670893206,Stub,15.4
33,Chad,Mahamat Hissene,693055898,Start,15.4
34,Chad,Othman I,705432607,Stub,15.4
35,Chad,Alphonse Kotiga,707593108,Start,15.4
36,Chad,Oueddei Kichidemi,708346649,Stub,15.4
37,Chad,Dunama I,710675092,Stub,15.4
38,Chad,Ahmad (Kanem-Bornu king),711388267,Stub,15.4
39,Chad,Djibrine Kerallah,712971263,Stub,15.4
40,Chad,Maurice Ngangtar,712971315,Stub,15.4
41,Chad,Idriss Miskine,712971738,Start,15.4
42,Chad,Laoukein Kourayo Médard,716886170,B,15.4
43,Chad,Nadji Madou,716886788,Stub,15.4
44,Chad,Noël Milarew Odingar,716891799,Stub,15.4
45,Chad,Yaya Dillo Djérou,717733209,C,15.4
46,Chad,Acheikh Ibn-Oumar,719821590,Stub,15.4
47,Chad,Quatre Sou Quatre,720066754,Start,15.4
48,Chad,Ali Gazi,722563340,Stub,15.4
49,Chad,Mahamat Djarma Khatir,725132042,Stub,15.4
50,Chad,Dunama IX Lefiami,731749611,Start,15.4
51,Chad,Dawud of Kanem,736550266,Start,15.4
52,Chad,Ahmed Koulamallah,738855197,Stub,15.4
53,Chad,Abbo Nassour,741369486,Stub,15.4
54,Chad,Abdel Kader Baba-Laddé,742213176,Stub,15.4
55,Chad,Hummay,747271475,Stub,15.4
56,Chad,Ngarlejy Yorongar,751304544,Start,15.4
57,Chad,Saleh Kezabo,751380073,Stub,15.4
58,Chad,Bourkou Louise Kabo,757072468,B,15.4
59,Chad,Brahim Koulamallah,757802238,Start,15.4
60,Chad,Saadie Goukouni Weddeye,757842614,C,15.4
61,Chad,Mahamoud Adam Béchir,762579466,C,15.4
62,Chad,Kalthouma Nguembang,762816132,Start,15.4
63,Chad,Djidingar Dono Ngardoum,764133533,Stub,15.4
64,Chad,Template:ChadPMs,768123377,Start,15.4
65,Chad,Template:ChadPres,770535091,Start,15.4
66,Chad,Youssouf Saleh Abbas,771052289,Start,15.4
67,Chad,Koibla Djimasta,774223245,Start,15.4
68,Chad,Nassour Guelendouksia Ouaido,774223248,Start,15.4
69,Chad,Joseph Brahim Seid,777478442,Start,15.4
70,Chad,Joseph Yodoyman,777550078,Start,15.4
71,Chad,Antoine Bangui,782638002,C,15.4
72,Chad,Ibrahim IV of Bornu,785614014,C,15.4
73,Chad,Hadjé Halimé,786449636,Start,15.4
74,Chad,Youssouf Togoïmi,787390241,Stub,15.4
75,Chad,Adoum Younousmi,787719236,C,15.4
76,Chad,François Tombalbaye,787738541,Start,15.4
77,Chad,Ahmat Hassaballah Soubiane,787910771,Start,15.4
78,Chad,Ahmad Allam-Mi,787921293,C,15.4
79,Chad,Laotegguelnodji Koumtog,788009613,Stub,15.4
80,Chad,Mahamat Ali Adoum,788014671,Start,15.4
81,Chad,Mahamat Saleh Annadif,788658822,Stub,15.4
82,Chad,Mohamed Bechir-Sow,788827248,Start,15.4
83,Chad,Gontchomé Sahoulba,788828388,C,15.4
84,Chad,Gabriel Lisette,788828519,Stub,15.4
85,Chad,Ali II of Bornu,788999424,Start,15.4
86,Chad,Arabi El Goni,789126126,Start,15.4
87,Chad,Dunama Dabbalemi,789935196,Stub,15.4
88,Chad,Idris Alooma,792734868,Stub,15.4
89,Chad,Mahamat Nouri,792954115,Start,15.4
90,Chad,Idriss Ndele Moussa,796654025,Stub,15.4
91,Chad,Mbaydoum Simeon,796690873,Stub,15.4
92,Chad,Ngarindo Milengar,796700718,C,15.4
93,Chad,List of Prime Ministers of Chad,797747674,Start,15.4
94,Chad,Idriss Déby,798286150,FA,15.4
95,Chad,Saleh Kebzabo,798626040,Start,15.4
96,Chad,Moussa Faki,799043301,Start,15.4
97,Chad,Template:Chad-politician-stub,799373925,Start,15.4
98,Chad,Kalzeubet Pahimi Deubet,799413193,Stub,15.4
99,Chad,Haroun Kabadi,799447895,Stub,15.4
100,Chad,Nagoum Yamassoum,799447995,Stub,15.4
101,Chad,Outel Bono,799448338,Start,15.4
102,Chad,Ahmat Acyl,799902492,Start,15.4
103,Chad,Djimrangar Dadnadji,800133552,C,15.4
104,Chad,Delwa Kassiré Koumakoye,801029539,C,15.4
105,Chad,Fidèle Moungar,801192255,C,15.4
106,Chad,Jean Alingué Bawoyeu,801192303,Stub,15.4
107,Chad,Emmanuel Nadingar,801573576,Start,15.4
108,Chad,Roger Djikisna,801583221,Start,15.4
109,Chad,Firmin Djidingar,801583260,Start,15.4
110,Chad,Idris I of Kanem,802874918,Start,15.4
111,Chad,Vice President of Chad,803166509,Start,15.4
112,Chad,Hissène Habré,803166806,C,15.4
113,Chad,Negue Djogo,803166989,Start,15.4
114,Chad,Wadel Abdelkader Kamougué,803167152,C,15.4
115,Chad,Félix Malloum,803167336,C,15.4
116,Chad,Lol Mahamat Choua,803167424,B,15.4
117,Chad,Goukouni Oueddei,803167990,C,15.4
118,Chad,Albert Pahimi Padacké,803433107,Stub,15.4
119,Chad,List of heads of state of Chad,803812011,Stub,15.4
120,Chad,Elise Loum,804773540,Stub,15.4
121,Chad,Agnes Allafi,805493169,Stub,15.4
122,Chad,Christine Georges Diguibaye,806337653,GA,15.4
123,Chad,Pascal Yoadimnadji,806508985,Start,15.4
124,Chad,Aissa Koli,806616268,C,15.4
125,Chad,Omar I of Kanem,807425129,Start,15.4
126,Zimbabwe,Template:Zimbabwe-politician-stub,391862046,C,14.0
127,Zimbabwe,Template:Zimbabwe-mayor-stub,444767985,C,14.0
128,Zimbabwe,Jabulani Dube,645408814,Start,14.0
129,Zimbabwe,Fletcher Dulini,669981316,C,14.0
130,Zimbabwe,Leopold Takawira,710060929,Start,14.0
131,Zimbabwe,Tinos Rusere,710524880,Start,14.0
132,Zimbabwe,Gift Tandare,710615823,Start,14.0
133,Zimbabwe,Engelbert Rugeje,711448400,C,14.0
134,Zimbabwe,Max Mnkandla,711509855,Start,14.0
135,Zimbabwe,Lovemore Matombo,711958194,Stub,14.0
136,Zimbabwe,Alfred Nikita Mangena,712004487,C,14.0
137,Zimbabwe,Simbi Mubako,713121927,Start,14.0
138,Zimbabwe,Nicholas Kiti kiti,713308132,Start,14.0
139,Zimbabwe,Aleck Gumbo,713580662,Start,14.0
140,Zimbabwe,Jabulani Sibanda,713618917,Start,14.0
141,Zimbabwe,Cain Mathema,713726531,Stub,14.0
142,Zimbabwe,Patrick Kombayi,713740128,Stub,14.0
143,Zimbabwe,Langton Towungana,713899377,Stub,14.0
144,Zimbabwe,Eric Matinenga,714455111,Stub,14.0
145,Zimbabwe,Emmanuel Chiroto,714535045,Stub,14.0
146,Zimbabwe,Muchadeyi Masunda,714706533,C,14.0
147,Zimbabwe,David Butau,714967769,Stub,14.0
148,Zimbabwe,Thompson Samkange,715131189,Stub,14.0
149,Zimbabwe,Nomalanga Khumalo,715183334,Stub,14.0
150,Zimbabwe,Henry Dzinotyiweyi,715867004,Stub,14.0
151,Zimbabwe,Edward Raradza,716017725,Stub,14.0
152,Zimbabwe,Rekayi Tangwena,716669163,Stub,14.0
153,Zimbabwe,Sibonile Nyamudeza,717380254,Stub,14.0
154,Zimbabwe,Misheck Kagurabadza,720008799,Stub,14.0
155,Zimbabwe,Morgan Femai,721674926,Stub,14.0
156,Zimbabwe,Bybit Lydia Tsomondo,723082034,Stub,14.0
157,Zimbabwe,Kisinoti Mukwazhe,723353282,Stub,14.0
158,Zimbabwe,David Karimanzira,725242133,Stub,14.0
159,Zimbabwe,Sobusa Gula-Ndebele,726651867,Stub,14.0
160,Zimbabwe,Sylvester Nguni,726686195,Stub,14.0
161,Zimbabwe,Thamsanqa Mahlangu,726687480,Stub,14.0
162,Zimbabwe,Tichaona Mudzingwa,726687648,Stub,14.0
163,Zimbabwe,Murisi Zwizwai,726687669,Stub,14.0
164,Zimbabwe,Samuel Undenge,726688144,Stub,14.0
165,Zimbabwe,Reuben Marumahoko,726688205,Stub,14.0
166,Zimbabwe,Simon Khaya-Moyo,730764918,Stub,14.0
167,Zimbabwe,"List of candidates in the Zimbabwean parliamentary election, 2013",735498335,B,14.0
168,Zimbabwe,Jevan Maseko,736911246,Stub,14.0
169,Zimbabwe,Munacho Mutezo,738729779,Stub,14.0
170,Zimbabwe,Sesel Zvidzai,738810400,Stub,14.0
171,Zimbabwe,Samuel Sipepa Nkomo,738992625,Stub,14.0
172,Zimbabwe,Faber Chidarikire,738992871,Start,14.0
173,Zimbabwe,Willard Chiwewe,738992910,Stub,14.0
174,Zimbabwe,Martin Dinha,738992918,Stub,14.0
175,Zimbabwe,Herbert Ushewokunze,739137894,Stub,14.0
176,Zimbabwe,Nyasha Chikwinya,742899761,Start,14.0
177,Zimbabwe,Naomi Nhiwatiwa,743971092,Start,14.0
178,Zimbabwe,Bright Matonga,744753863,Stub,14.0
179,Zimbabwe,Thokozani Khuphe,747274193,Start,14.0
180,Zimbabwe,Border Gezi,748061603,Start,14.0
181,Zimbabwe,Rugare Gumbo,749496266,Start,14.0
182,Zimbabwe,George Nyandoro,750224976,Start,14.0
183,Zimbabwe,Paul Chimedza,750428952,Stub,14.0
184,Zimbabwe,Gorden Moyo,750974704,Stub,14.0
185,Zimbabwe,Daniel Shumba,753294248,Start,14.0
186,Zimbabwe,Douglas Mombeshora,755110125,Stub,14.0
187,Zimbabwe,Munyaradzi Gwisai,755337199,Start,14.0
188,Zimbabwe,Olivia Muchena,757616307,Start,14.0
189,Zimbabwe,Paurine Mpariwa,757616437,Stub,14.0
190,Zimbabwe,Sithembiso Nyoni,757617613,Stub,14.0
191,Zimbabwe,Earnest Mudzengi,757796569,Stub,14.0
192,Zimbabwe,Gift Banda,758442662,Stub,14.0
193,Zimbabwe,Wilson Kumbula,759330558,Stub,14.0
194,Zimbabwe,Paurina Mpariwa,760532029,Stub,14.0
195,Zimbabwe,Flora Buka,762630896,Stub,14.0
196,Zimbabwe,Elliot Manyika,763330074,Start,14.0
197,Zimbabwe,Diana Mitchell,764299725,Start,14.0
198,Zimbabwe,Maurice Nyagumbo,764826793,Start,14.0
199,Zimbabwe,Josiah Zion Gumede,765095810,Start,14.0
200,Zimbabwe,Edson Zvobgo,767922311,Start,14.0
201,Zimbabwe,Felix Magalela Mafa Sibanda,769519957,C,14.0
202,Zimbabwe,Tracy Mutinhiri,769876632,Stub,14.0
203,Zimbabwe,Kayisa Ndiweni,771958995,Stub,14.0
204,Zimbabwe,Enoch Dumbutshena,774026217,Stub,14.0
205,Zimbabwe,Hubert Nyanhongo,774061307,Stub,14.0
206,Zimbabwe,James Chikerema,775935799,C,14.0
207,Zimbabwe,Victoria Chitepo,776389556,Start,14.0
208,Zimbabwe,Joel Gabuza,776840034,Stub,14.0
209,Zimbabwe,Trudy Stevenson,776943338,Start,14.0
210,Zimbabwe,Joram Gumbo,777424335,Stub,14.0
211,Zimbabwe,Joseph Chinotimba,777482252,C,14.0
212,Zimbabwe,Nkululeko Sibanda,777623864,Start,14.0
213,Zimbabwe,Janet Banana,777849777,Stub,14.0
214,Zimbabwe,Lazarus Dokora,780062778,Stub,14.0
215,Zimbabwe,Lutho Tapela,782607746,Stub,14.0
216,Zimbabwe,Moven Mahachi,783298283,Stub,14.0
217,Zimbabwe,Margaret Dongo,783419906,Start,14.0
218,Zimbabwe,Sekai Holland,783637102,C,14.0
219,Zimbabwe,George Chiweshe,783919896,Start,14.0
220,Zimbabwe,Josiah Mushore Chinamano,784396785,Stub,14.0
221,Zimbabwe,Michael Bimha,784668448,Stub,14.0
222,Zimbabwe,Josiah Tongogara,786913202,C,14.0
223,Zimbabwe,Naison Ndlovu,787854175,Stub,14.0
224,Zimbabwe,Enos Mdlongwa,787854640,Stub,14.0
225,Zimbabwe,Lindiwe Majele Sibanda,788247480,Start,14.0
226,Zimbabwe,Ndabaningi Sithole,788291899,C,14.0
227,Zimbabwe,Ambrose Mutinhiri,788777043,Stub,14.0
228,Zimbabwe,Judith Todd,788792548,Start,14.0
229,Zimbabwe,Andrew Langa,789094827,Stub,14.0
230,Zimbabwe,Christopher Kuruneri,789427326,Start,14.0
231,Zimbabwe,Priscilla Misihairabwi-Mushonga,789545114,Stub,14.0
232,Zimbabwe,Swithun Mombeshora,789545179,Stub,14.0
233,Zimbabwe,Oppah Muchinguri,789545185,Stub,14.0
234,Zimbabwe,Samuel Mumbengegwi,789545206,Start,14.0
235,Zimbabwe,Chris Mushohwe,789545212,Stub,14.0
236,Zimbabwe,Giles Mutsekwa,789545214,Start,14.0
237,Zimbabwe,Francis Nhema,789545220,Stub,14.0
238,Zimbabwe,Mike Nyambuya,789545233,Stub,14.0
239,Zimbabwe,Solomon Mujuru,789898624,C,14.0
240,Zimbabwe,Ronald Penza,789948565,Stub,14.0
241,Zimbabwe,Joseph Made,789965571,Start,14.0
